,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,6.042199993316899e-05,13.0,0.0,0.01,32
1,1,0.002443012999947314,13.0,1.0,0.01,32
2,2,0.010844884999983151,15.0,3.0,0.01,32
3,3,0.012407782999957817,15.0,4.0,0.01,32
4,4,0.012447094999970432,15.0,6.0,0.01,32
5,5,0.014044648999970377,15.0,8.0,0.01,32
6,6,0.014083593999998811,15.0,10.0,0.01,32
7,7,0.014107357999932901,15.0,11.0,0.01,32
8,8,0.014130424999962088,15.0,12.0,0.01,32
9,9,0.015705780999951457,17.0,14.0,0.01,32
10,10,0.015747112999974888,17.0,16.0,0.01,32
11,11,0.015779699999939112,17.0,18.0,0.01,32
12,12,0.015810150999982397,17.0,20.0,0.01,32
13,13,0.015839716999948905,17.0,22.0,0.01,32
14,14,0.015867429999957494,19.0,24.0,0.01,32
15,15,0.015900502000022243,19.0,26.0,0.01,32
16,16,0.015931148999925426,19.0,28.0,0.01,32
17,17,0.017579644999955235,21.0,30.0,0.01,32
18,18,0.017614394000020184,21.0,31.0,0.01,32
19,19,0.017647924000016246,21.0,33.0,0.01,32
20,20,0.01767959599999358,21.0,35.0,0.01,32
21,21,0.017703305999930308,21.0,36.0,0.01,32
22,22,0.017733908999957748,21.0,38.0,0.01,32
23,23,0.017764402000011614,21.0,40.0,0.01,32
24,24,0.017787724999948296,21.0,41.0,0.01,32
25,25,0.01781870100001015,21.0,43.0,0.01,32
26,26,0.0178499630000033,21.0,45.0,0.01,32
27,27,0.017880419999983133,21.0,47.0,0.01,32
28,28,0.017904059999978017,21.0,48.0,0.01,32
29,29,0.017927925999970284,21.0,49.0,0.01,32
30,30,0.017951845999959914,21.0,50.0,0.01,32
31,31,0.01798307499996099,21.0,52.0,0.01,32
32,32,0.018006985999932112,21.0,53.0,0.01,32
