,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
31,4,115.03323506933009,29,0.054746048990637064,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.3,4096
32,8,115.03323506933009,53,0.07391958800144494,"[0, 13, 8, 1, 15, 5, 20, 11, 3, 4, 17, 12, 18, 16, 2, 9, 21, 7, 10, 14, 19, 6]",5,0.3,4096
33,16,115.60063104623507,102,0.09472190399537794,"[10, 16, 14, 2, 19, 12, 3, 18, 9, 5, 15, 0, 7, 1, 11, 20, 4, 21, 13, 17, 6, 8]",5,0.3,4096
34,32,125.50330642016544,201,0.11835021499427967,"[10, 1, 16, 12, 2, 19, 14, 7, 18, 11, 3, 9, 5, 15, 8, 20, 4, 21, 13, 0, 6, 17]",5,0.3,4096
35,64,128.4776190565711,395,0.14810641799704172,"[10, 1, 16, 12, 2, 19, 13, 21, 7, 18, 11, 3, 9, 5, 15, 8, 20, 4, 14, 0, 6, 17]",5,0.3,4096
36,128,133.19544205281298,784,0.19054421500186436,"[10, 16, 1, 12, 19, 2, 13, 21, 7, 18, 11, 3, 14, 4, 15, 5, 8, 20, 9, 0, 6, 17]",5,0.3,4096
37,256,138.5294942731339,1560,0.25987547799013555,"[10, 15, 1, 12, 2, 19, 11, 21, 7, 17, 5, 13, 3, 14, 4, 16, 8, 20, 9, 0, 6, 18]",5,0.3,4096
38,512,142.53849053969037,3106,0.38871234899852425,"[6, 15, 1, 12, 2, 18, 11, 21, 9, 19, 5, 14, 3, 13, 4, 17, 8, 0, 10, 20, 7, 16]",5,0.3,4096
39,1024,144.19087192163732,6185,0.6574283410154749,"[6, 15, 2, 12, 3, 16, 7, 21, 10, 19, 5, 14, 1, 13, 4, 17, 9, 0, 11, 20, 8, 18]",5,0.3,4096
40,2048,145.0646108512579,12334,1.2976590270118322,"[6, 15, 2, 12, 3, 16, 7, 20, 8, 17, 5, 14, 1, 13, 4, 18, 10, 0, 11, 21, 9, 19]",5,0.3,4096
