,Iteration,Fitness,FEvals,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
24,2,152.09312761871976,1203,1.0543825729982927,"[10, 23, 12, 0, 16, 24, 27, 14, 7, 1, 15, 18, 25, 9, 21, 8, 22, 5, 31, 19, 6, 3, 28, 20, 4, 29, 11, 30, 26, 2, 13, 17]",True,400,0.75,512
25,4,155.45099728085353,2006,2.0711569849809166,"[2, 20, 24, 29, 23, 13, 6, 14, 31, 22, 11, 19, 3, 10, 21, 8, 16, 26, 4, 28, 5, 15, 1, 9, 0, 18, 12, 30, 7, 17, 25, 27]",True,400,0.75,512
26,8,155.9530516618536,3611,4.092861732991878,"[29, 8, 17, 2, 18, 3, 12, 26, 19, 25, 30, 24, 15, 23, 16, 31, 6, 21, 4, 14, 9, 0, 27, 20, 7, 22, 11, 5, 13, 10, 28, 1]",True,400,0.75,512
27,16,165.1130829435155,6823,8.208273260999704,"[20, 8, 31, 19, 28, 1, 10, 17, 23, 26, 15, 24, 9, 21, 7, 18, 6, 25, 14, 0, 11, 2, 13, 30, 4, 29, 22, 5, 16, 3, 27, 12]",True,400,0.75,512
28,32,165.1130829435155,13239,16.53117808798561,"[20, 8, 31, 19, 28, 1, 10, 17, 23, 26, 15, 24, 9, 21, 7, 18, 6, 25, 14, 0, 11, 2, 13, 30, 4, 29, 22, 5, 16, 3, 27, 12]",True,400,0.75,512
29,64,168.57732153385007,26075,33.04785488898051,"[31, 9, 20, 26, 30, 8, 21, 28, 6, 16, 2, 12, 0, 10, 22, 27, 3, 19, 15, 4, 29, 7, 23, 11, 1, 13, 5, 14, 24, 18, 25, 17]",True,400,0.75,512
30,128,168.7057259743039,51740,68.40399211298791,"[31, 9, 20, 8, 30, 2, 28, 14, 4, 16, 26, 15, 0, 10, 22, 27, 3, 19, 12, 24, 29, 6, 23, 11, 1, 13, 5, 21, 7, 18, 25, 17]",True,400,0.75,512
31,256,168.7057259743039,103068,138.38554579098127,"[31, 9, 20, 8, 30, 2, 28, 14, 4, 16, 26, 15, 0, 10, 22, 27, 3, 19, 12, 24, 29, 6, 23, 11, 1, 13, 5, 21, 7, 18, 25, 17]",True,400,0.75,512
32,512,168.7057259743039,205724,278.9914049109793,"[31, 9, 20, 8, 30, 2, 28, 14, 4, 16, 26, 15, 0, 10, 22, 27, 3, 19, 12, 24, 29, 6, 23, 11, 1, 13, 5, 21, 7, 18, 25, 17]",True,400,0.75,512
33,0,129.5135622027953,300,0.007780151005135849,"[29, 15, 24, 17, 8, 9, 30, 25, 12, 0, 4, 16, 5, 13, 11, 23, 1, 2, 26, 3, 21, 27, 22, 18, 31, 20, 7, 10, 14, 28, 19, 6]",True,300,0.25,512
34,1,153.91007065036317,602,0.34500595400459133,"[27, 13, 4, 12, 1, 19, 25, 31, 10, 15, 3, 8, 2, 26, 30, 22, 24, 17, 5, 9, 20, 29, 11, 23, 28, 0, 14, 21, 7, 18, 6, 16]",True,300,0.25,512
35,2,154.86114054280105,904,0.6726847940008156,"[22, 26, 1, 13, 5, 27, 31, 11, 20, 25, 30, 24, 15, 6, 0, 14, 19, 10, 18, 9, 17, 7, 12, 2, 28, 4, 21, 8, 23, 3, 29, 16]",True,300,0.25,512
36,4,158.40792854380774,1507,1.304349247016944,"[10, 0, 12, 30, 20, 8, 29, 5, 31, 3, 14, 26, 13, 25, 15, 24, 6, 27, 23, 9, 17, 2, 11, 1, 18, 7, 28, 19, 4, 16, 22, 21]",True,300,0.25,512
37,8,164.83664200266543,2712,2.5730679120169953,"[10, 0, 12, 30, 20, 8, 29, 5, 31, 26, 18, 9, 19, 25, 15, 6, 22, 27, 23, 16, 11, 2, 13, 1, 28, 7, 24, 17, 4, 14, 3, 21]",True,300,0.25,512
38,16,164.83664200266543,5120,5.9040637419966515,"[10, 0, 12, 30, 20, 8, 29, 5, 31, 26, 18, 9, 19, 25, 15, 6, 22, 27, 23, 16, 11, 2, 13, 1, 28, 7, 24, 17, 4, 14, 3, 21]",True,300,0.25,512
39,32,164.83664200266543,9936,13.269555870007025,"[10, 0, 12, 30, 20, 8, 29, 5, 31, 26, 18, 9, 19, 25, 15, 6, 22, 27, 23, 16, 11, 2, 13, 1, 28, 7, 24, 17, 4, 14, 3, 21]",True,300,0.25,512
