,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.0008722659986233339,92.0,0.0,True,200,0.25,512
1,1,0.06432477199996356,123.0,2.0,True,200,0.25,512
2,2,0.12035304600431118,126.0,4.0,True,200,0.25,512
3,3,0.17375298700062558,126.0,5.0,True,200,0.25,512
4,4,0.22511459300585557,130.0,7.0,True,200,0.25,512
5,5,0.2803308190050302,130.0,8.0,True,200,0.25,512
6,6,0.3438500610063784,131.0,10.0,True,200,0.25,512
7,7,0.39728886900411453,135.0,12.0,True,200,0.25,512
8,8,0.4514775779971387,138.0,14.0,True,200,0.25,512
9,9,0.5107428760093171,139.0,16.0,True,200,0.25,512
10,10,0.562853573996108,144.0,18.0,True,200,0.25,512
11,11,0.6182943120074924,146.0,20.0,True,200,0.25,512
12,12,0.6743664850073401,151.0,22.0,True,200,0.25,512
13,13,0.7290062609972665,159.0,24.0,True,200,0.25,512
14,14,0.7863150320044952,159.0,25.0,True,200,0.25,512
15,15,0.8397050880012102,163.0,27.0,True,200,0.25,512
16,16,0.8929841490025865,163.0,28.0,True,200,0.25,512
17,17,0.9510700200044084,165.0,30.0,True,200,0.25,512
18,18,1.0129417360003572,167.0,32.0,True,200,0.25,512
19,19,1.0780121840070933,167.0,33.0,True,200,0.25,512
20,20,1.1419241780095035,169.0,35.0,True,200,0.25,512
21,21,1.1946183270047186,171.0,37.0,True,200,0.25,512
22,22,1.3192038310080534,171.0,38.0,True,200,0.25,512
23,23,1.4694350759964436,171.0,39.0,True,200,0.25,512
24,24,1.6218171030050144,171.0,40.0,True,200,0.25,512
25,25,1.6799138170026708,171.0,41.0,True,200,0.25,512
26,26,1.8381855120096589,171.0,42.0,True,200,0.25,512
27,27,1.989835348998895,171.0,43.0,True,200,0.25,512
28,28,2.140705605997937,171.0,44.0,True,200,0.25,512
29,29,2.289804879008443,171.0,45.0,True,200,0.25,512
30,30,2.4406435520068044,171.0,46.0,True,200,0.25,512
